temp_2013,temp_2014,temp_2015,irrad_2013,irrad_2014,irrad_2015
45.5,42.9,39.5,353,370,161
45.2,44.8,39.3,360,478,166
44.9,47.3,39.3,373,521,157
44.4,48.9,38.7,368,538,137
44.9,49.3,38.1,383,463,111
45.9,48.7,37.5,442,365,115
46.8,47.6,37,481,387,110
47.8,47.5,36.6,441,360,97
47.4,47.2,36.1,497,302,103
48.5,46.2,35.8,550,253,103
50.8,44.6,35.7,596,257,122
52,43.8,35.8,443,261,138
51.1,43.2,36,462,166,149
51.6,41.6,36.2,577,116,147
53,40.1,36.2,595,83,150
54.2,38.4,36.3,624,67,152
53.9,36.6,36.2,370,60,159
50.9,35.4,36.3,329,43,187
48.6,34.3,37.3,260,39,341
46.3,33.6,40.7,226,64,474
44.7,32.3,43.8,236,114,402
43.6,31,44.2,197,131,295
42.7,31.1,43.2,188,130,263
41.5,32.2,41.9,160,80,261
40.3,32.6,41.2,143,60,296
39.4,32.1,41.3,121,51,250
38.3,30.7,40.8,114,58,283
37.7,30.7,40.7,114,58,286
37.2,29,41,113,81,288
36.8,29.2,41.1,107,92,233
36.4,30.1,39.9,100,80,156
36,30.1,38.1,90,56,108
35.5,31.1,35.6,77,57,77
35,31.3,31.2,62,69,57
34.3,31.6,29.1,52,67,48
33.7,31.7,28.7,43,76,53
33.1,31.9,28.6,37,60,46
32.7,31.7,28.4,35,32,24
32.2,31.4,28,33,27,14
31.9,31.4,27.5,29,27,5
31.6,30.8,26.7,25,29,4
31.4,30.7,26.3,21,30,3
31.2,30.7,25.8,22,31,0
30.9,30.7,25.5,23,36,0
30.7,30.8,25.2,19,41,0
30.5,30.9,25.1,12,34,0
30.1,30.8,25.1,8,19,0
29.7,30.8,25.1,5,9,0
29.4,30.1,25,3,4,0
29.2,29.8,25,0,1,0
28.9,29.5,25,0,0,0
28.6,29.3,25.1,0,0,0
28.3,29.1,25.1,0,0,0
27.9,29,25.1,0,0,0
27.6,28.8,25.2,0,0,0
27.3,28.7,25.3,0,0,0
27.1,28.6,25.3,0,0,0
26.9,28.5,25.4,0,0,0
26.8,28.3,25.4,0,0,0
26.8,28,25.4,0,0,0
26.8,27.7,25.3,0,0,0
26.7,27.4,25.4,0,0,0
26.6,27.2,25.5,0,0,0
26.5,27,25.6,0,0,0
26.3,26.9,25.7,0,0,0
26.1,26.8,25.7,0,0,0
26,26.8,25.8,0,0,0
25.8,26.8,25.8,0,0,0
25.8,26.7,25.9,0,0,0
25.6,26.6,25.9,0,0,0
25.5,26.5,25.9,0,0,0
25.5,26.4,26,0,0,0
25.4,26.5,26.1,0,0,0
25.4,26.4,26.1,0,0,0
25.3,26.4,26,0,0,0
25.3,26.4,26,0,0,0
25.2,26.4,26.1,0,0,0
25.2,26.5,26.1,0,0,0
25,26.6,26.1,0,0,0
25,26.8,26,0,0,0
25,26.8,26.1,0,0,0
25,26.7,26,0,0,0
25,26.6,25.9,0,0,0
25,26.5,25.8,0,0,0
25,26.5,25.6,0,0,0
25,26.3,25.5,0,0,0
24.9,26.2,25.5,0,0,0
24.9,26,25.5,0,0,0
24.9,25.9,25.4,0,0,0
25,25.8,25.3,0,0,0
25,25.7,25.1,0,0,0
25,25.7,25,0,0,0
25,25.6,24.9,0,0,0
25,25.5,24.9,0,0,0
24.9,25.4,24.8,0,0,0
24.9,25.4,24.7,0,0,0
